 person   gender   situation   response 
     62 0 2 1
     62 0 3 1
     63 0 1 1
     63 0 2 1
     63 0 3 1
     64 0 1 1
     64 0 2 1
     64 0 3 1
     65 0 1 1
     65 0 2 1
     65 0 3 1
     66 0 1 1
     66 0 2 1
     66 0 3 1
     67 0 1 1
     67 0 2 1
     67 0 3 1
     68 0 1 1
     68 0 2 1
     68 0 3 1
     69 0 1 1
     69 0 2 1
     69 0 3 1
     70 0 1 1
     70 0 2 1
     70 0 3 1
     71 0 1 1
     71 0 2 1
     71 0 3 1
     72 0 1 1
     72 0 2 1
     72 0 3 1
     73 0 1 1
     73 0 2 1
     73 0 3 1
     74 0 1 1
     74 0 2 1
     74 0 3 1
     75 0 1 1
     75 0 2 1
     75 0 3 1
     76 0 1 1
     76 0 2 1
     76 0 3 1
     77 0 1 1
     77 0 2 1
     77 0 3 1
     78 0 1 1
     78 0 2 1
     78 0 3 1
     79 0 1 1
     79 0 2 1
     79 0 3 1
     80 0 1 1
     80 0 2 1
     80 0 3 1
     81 0 1 1
     81 0 2 1
     81 0 3 1
     82 0 1 1
     82 0 2 1
     82 0 3 1
     83 0 1 1
     83 0 2 1
     83 0 3 1
     84 0 1 1
     84 0 2 1
     84 0 3 1
     85 0 1 1
     85 0 2 1
     85 0 3 1
     86 0 1 1
     86 0 2 1
     86 0 3 1
     87 0 1 1
     87 0 2 1
     87 0 3 1
     88 0 1 1
     88 0 2 1
     88 0 3 1
     89 0 1 1
     89 0 2 1
     89 0 3 1
     90 0 1 1
     90 0 2 1
     90 0 3 1
     91 0 1 1
     91 0 2 1
     91 0 3 1
     92 0 1 1
     92 0 2 1
     92 0 3 1
     93 0 1 1
     93 0 2 1
     93 0 3 1
     94 0 1 1
     94 0 2 1
     94 0 3 1
     95 0 1 1
     95 0 2 1
     95 0 3 1
     96 0 1 1
     96 0 2 1
     96 0 3 1
     97 0 1 1
     97 0 2 1
     97 0 3 1
     98 0 1 1
     98 0 2 1
     98 0 3 1
     99 0 1 1
     99 0 2 1
     99 0 3 1
     100 0 1 1
     100 0 2 1
     100 0 3 1
     101 0 1 1
     101 0 2 1
     101 0 3 1
     102 0 1 1
     102 0 2 1
     102 0 3 1
     103 0 1 1
     103 0 2 1
     103 0 3 1
     104 0 1 1
     104 0 2 1
     104 0 3 1
     105 0 1 1
     105 0 2 1
     105 0 3 1
     106 0 1 1
     106 0 2 1
     106 0 3 1
     107 0 1 1
     107 0 2 1
     107 0 3 1
     108 0 1 1
     108 0 2 1
     108 0 3 1
     109 0 1 1
     109 0 2 1
     109 0 3 1
     110 0 1 1
     110 0 2 1
     110 0 3 1
     111 0 1 1
     111 0 2 1
     111 0 3 1
     112 0 1 1
     112 0 2 1
     112 0 3 1
     113 0 1 1
     113 0 2 1
     113 0 3 1
     114 0 1 1
     114 0 2 1
     114 0 3 1
     115 0 1 1
     115 0 2 1
     115 0 3 1
     116 0 1 1
     116 0 2 1
     116 0 3 1
     117 0 1 1
     117 0 2 1
     117 0 3 1
     118 0 1 1
     118 0 2 1
     118 0 3 1
     119 0 1 1
     119 0 2 1
     119 0 3 1
     120 0 1 1
     120 0 2 1
     120 0 3 1
     121 0 1 1
     121 0 2 1
     121 0 3 1
     122 0 1 1
     122 0 2 1
     122 0 3 1
     123 0 1 1
     123 0 2 1
     123 0 3 1
     124 0 1 1
     124 0 2 1
     124 0 3 1
     125 0 1 1
     125 0 2 1
     125 0 3 1
     126 0 1 1
     126 0 2 1
     126 0 3 1
     127 0 1 1
     127 0 2 1
     127 0 3 1
     128 0 1 1
     128 0 2 1
     128 0 3 1
     129 0 1 1
     129 0 2 1
     129 0 3 1
     130 0 1 1
     130 0 2 1
     130 0 3 1
     131 0 1 1
     131 0 2 1
     131 0 3 1
     132 0 1 1
     132 0 2 1
     132 0 3 1
     133 0 1 1
     133 0 2 1
     133 0 3 1
     134 0 1 1
     134 0 2 1
     134 0 3 1
     135 0 1 1
     135 0 2 1
     135 0 3 1
     136 0 1 1
     136 0 2 1
     136 0 3 1
     137 0 1 1
     137 0 2 1
     137 0 3 1
     138 0 1 1
     138 0 2 1
     138 0 3 1
     139 0 1 1
     139 0 2 1
     139 0 3 1
     140 0 1 1
     140 0 2 1
     140 0 3 1
     141 0 1 1
     141 0 2 1
     141 0 3 1
     142 0 1 1
     142 0 2 1
     142 0 3 1
     143 0 1 1
     143 0 2 1
     143 0 3 1
     144 0 1 1
     144 0 2 1
     144 0 3 1
     145 0 1 1
     145 0 2 1
     145 0 3 1
     146 0 1 1
     146 0 2 1
     146 0 3 1
     147 0 1 1
     147 0 2 1
     147 0 3 1
     148 0 1 1
     148 0 2 1
     148 0 3 1
     149 0 1 1
     149 0 2 1
     149 0 3 1
     150 0 1 1
     150 0 2 1
     150 0 3 1
     151 0 1 1
     151 0 2 1
     151 0 3 1
     152 0 1 1
     152 0 2 1
     152 0 3 1
     153 0 1 1
     153 0 2 1
     153 0 3 1
     154 0 1 1
     154 0 2 1
     154 0 3 1
     155 0 1 1
     155 0 2 1
     155 0 3 1
     156 0 1 1
     156 0 2 1
     156 0 3 1
     157 0 1 1
     157 0 2 1
     157 0 3 1
     158 0 1 1
     158 0 2 1
     158 0 3 1
     159 0 1 1
     159 0 2 1
     159 0 3 1
     160 0 1 1
     160 0 2 1
     160 0 3 1
     161 0 1 1
     161 0 2 1
     161 0 3 1
     162 0 1 1
     162 0 2 1
     162 0 3 1
     163 0 1 1
     163 0 2 1
     163 0 3 1
     164 0 1 1
     164 0 2 1
     164 0 3 1
     165 0 1 1
     165 0 2 1
     165 0 3 1
     166 0 1 1
     166 0 2 1
     166 0 3 1
     167 0 1 1
     167 0 2 1
     167 0 3 1
     168 0 1 1
     168 0 2 1
     168 0 3 1
     169 0 1 1
     169 0 2 1
     169 0 3 1
     170 0 1 1
     170 0 2 1
     170 0 3 1
     171 0 1 1
     171 0 2 1
     171 0 3 1
     172 0 1 1
     172 0 2 1
     172 0 3 1
     173 0 1 1
     173 0 2 1
     173 0 3 1
     174 0 1 1
     174 0 2 1
     174 0 3 1
     175 0 1 1
     175 0 2 1
     175 0 3 1
     176 0 1 1
     176 0 2 1
     176 0 3 1
     177 0 1 1
     177 0 2 1
     177 0 3 1
     178 0 1 1
     178 0 2 1
     178 0 3 1
     179 0 1 1
     179 0 2 1
     179 0 3 1
     180 0 1 1
     180 0 2 1
     180 0 3 1
     181 0 1 1
     181 0 2 1
     181 0 3 1
     182 0 1 1
     182 0 2 1
     182 0 3 1
     183 0 1 1
     183 0 2 1
     183 0 3 1
     184 0 1 1
     184 0 2 1
     184 0 3 1
     185 0 1 1
     185 0 2 1
     185 0 3 1
     186 0 1 1
     186 0 2 1
     186 0 3 1
     187 0 1 1
     187 0 2 1
     187 0 3 1
     188 0 1 1
     188 0 2 1
     188 0 3 1
     189 0 1 1
     189 0 2 1
     189 0 3 1
     190 0 1 1
     190 0 2 1
     190 0 3 1
     191 0 1 1
     191 0 2 1
     191 0 3 1
     192 0 1 1
     192 0 2 1
     192 0 3 1
     193 0 1 1
     193 0 2 1
     193 0 3 1
     194 0 1 1
     194 0 2 1
     194 0 3 1
     195 0 1 1
     195 0 2 1
     195 0 3 1
     196 0 1 1
     196 0 2 1
     196 0 3 1
     197 0 1 1
     197 0 2 1
     197 0 3 1
     198 0 1 1
     198 0 2 1
     198 0 3 1
     199 0 1 1
     199 0 2 1
     199 0 3 1
     200 0 1 1
     200 0 2 1
     200 0 3 1
     201 0 1 1
     201 0 2 1
     201 0 3 1
     202 0 1 1
     202 0 2 1
     202 0 3 1
     203 0 1 1
     203 0 2 1
     203 0 3 1
     204 0 1 1
     204 0 2 1
     204 0 3 1
     205 0 1 1
     205 0 2 1
     205 0 3 1
     206 0 1 1
     206 0 2 1
     206 0 3 1
     207 0 1 1
     207 0 2 1
     207 0 3 1
     208 0 1 1
     208 0 2 1
     208 0 3 1
     209 0 1 1
     209 0 2 1
     209 0 3 1
     210 0 1 1
     210 0 2 1
     210 0 3 1
     211 0 1 1
     211 0 2 1
     211 0 3 1
     212 0 1 1
     212 0 2 1
     212 0 3 1
     213 0 1 1
     213 0 2 1
     213 0 3 1
     214 0 1 1
     214 0 2 1
     214 0 3 1
     215 0 1 1
     215 0 2 1
     215 0 3 1
     216 0 1 1
     216 0 2 1
     216 0 3 1
     217 0 1 1
     217 0 2 1
     217 0 3 1
     218 0 1 1
     218 0 2 1
     218 0 3 1
     219 0 1 1
     219 0 2 1
     219 0 3 1
     220 0 1 1
     220 0 2 1
     220 0 3 1
     221 0 1 1
     221 0 2 1
     221 0 3 1
     222 0 1 1
     222 0 2 1
     222 0 3 1
     223 0 1 1
     223 0 2 1
     223 0 3 1
     224 0 1 1
     224 0 2 1
     224 0 3 1
     225 0 1 1
     225 0 2 1
     225 0 3 1
     226 0 1 1
     226 0 2 1
     226 0 3 1
     227 0 1 1
     227 0 2 1
     227 0 3 1
     228 0 1 1
     228 0 2 1
     228 0 3 1
     229 0 1 1
     229 0 2 1
     229 0 3 1
     230 0 1 1
     230 0 2 1
     230 0 3 1
     231 0 1 1
     231 0 2 1
     231 0 3 1
     232 0 1 1
     232 0 2 1
     232 0 3 1
     233 0 1 1
     233 0 2 1
     233 0 3 1
     234 0 1 1
     234 0 2 1
     234 0 3 1
     235 0 1 1
     235 0 2 1
     235 0 3 1
     236 0 1 1
     236 0 2 1
     236 0 3 1
     237 0 1 1
     237 0 2 1
     237 0 3 1
     238 0 1 1
     238 0 2 1
     238 0 3 1
     239 0 1 1
     239 0 2 1
     239 0 3 1
     240 0 1 1
     240 0 2 1
     240 0 3 1
     241 0 1 1
     241 0 2 1
     241 0 3 1
     242 0 1 1
     242 0 2 1
     242 0 3 1
     243 0 1 1
     243 0 2 1
     243 0 3 1
     244 0 1 1
     244 0 2 1
     244 0 3 1
     245 0 1 1
     245 0 2 1
     245 0 3 1
     246 0 1 1
     246 0 2 1
     246 0 3 1
     247 0 1 1
     247 0 2 1
     247 0 3 1
     248 0 1 1
     248 0 2 1
     248 0 3 1
     249 0 1 1
     249 0 2 1
     249 0 3 1
     250 0 1 1
     250 0 2 1
     250 0 3 1
     251 0 1 1
     251 0 2 1
     251 0 3 1
     252 0 1 1
     252 0 2 1
     252 0 3 1
     253 0 1 1
     253 0 2 1
     253 0 3 1
     254 0 1 1
     254 0 2 1
     254 0 3 1
     255 0 1 1
     255 0 2 1
     255 0 3 1
     256 0 1 1
     256 0 2 1
     256 0 3 1
     257 0 1 1
     257 0 2 1
     257 0 3 1
     258 0 1 1
     258 0 2 1
     258 0 3 1
     259 0 1 1
     259 0 2 1
     259 0 3 1
     260 0 1 1
     260 0 2 1
     260 0 3 1
     261 0 1 1
     261 0 2 1
     261 0 3 1
     262 0 1 1
     262 0 2 1
     262 0 3 1
     263 0 1 1
     263 0 2 1
     263 0 3 1
     264 0 1 1
     264 0 2 1
     264 0 3 1
     265 0 1 1
     265 0 2 1
     265 0 3 1
     266 0 1 1
     266 0 2 1
     266 0 3 1
     267 0 1 1
     267 0 2 1
     267 0 3 1
     268 0 1 1
     268 0 2 1
     268 0 3 1
     269 0 1 1
     269 0 2 1
     269 0 3 1
     270 0 1 1
     270 0 2 1
     270 0 3 1
     271 0 1 1
     271 0 2 1
     271 0 3 1
     272 0 1 1
     272 0 2 1
     272 0 3 1
     273 0 1 1
     273 0 2 1
     273 0 3 1
     274 0 1 1
     274 0 2 1
     274 0 3 1
     275 0 1 1
     275 0 2 1
     275 0 3 1
     276 0 1 1
     276 0 2 1
     276 0 3 1
     277 0 1 1
     277 0 2 1
     277 0 3 1
     278 0 1 1
     278 0 2 1
     278 0 3 1
     279 0 1 1
     279 0 2 1
     279 0 3 1
     280 0 1 1
     280 0 2 1
     280 0 3 1
     281 0 1 1
     281 0 2 1
     281 0 3 1
     282 0 1 1
     282 0 2 1
     282 0 3 1
     283 0 1 1
     283 0 2 1
     283 0 3 1
     284 0 1 1
     284 0 2 1
     284 0 3 0
     285 0 1 1
     285 0 2 1
     285 0 3 0
     286 0 1 1
     286 0 2 1
     286 0 3 0
     287 0 1 1
     287 0 2 1
     287 0 3 0
     288 0 1 1
     288 0 2 1
     288 0 3 0
     289 0 1 1
     289 0 2 1
     289 0 3 0
     290 0 1 1
     290 0 2 1
     290 0 3 0
     291 0 1 1
     291 0 2 1
     291 0 3 0
     292 0 1 1
     292 0 2 1
     292 0 3 0
     293 0 1 1
     293 0 2 1
     293 0 3 0
     294 0 1 1
     294 0 2 1
     294 0 3 0
     295 0 1 1
     295 0 2 1
     295 0 3 0
     296 0 1 1
     296 0 2 1
     296 0 3 0
     297 0 1 1
     297 0 2 1
     297 0 3 0
     298 0 1 1
     298 0 2 1
     298 0 3 0
     299 0 1 1
     299 0 2 1
     299 0 3 0
     300 0 1 1
     300 0 2 1
     300 0 3 0
     301 0 1 1
     301 0 2 1
     301 0 3 0
     302 0 1 1
     302 0 2 1
     302 0 3 0
     303 0 1 1
     303 0 2 1
     303 0 3 0
     304 0 1 1
     304 0 2 1
     304 0 3 0
     305 0 1 1
     305 0 2 1
     305 0 3 0
     306 0 1 1
     306 0 2 1
     306 0 3 0
     307 0 1 1
     307 0 2 1
     307 0 3 0
     308 0 1 1
     308 0 2 1
     308 0 3 0
     309 0 1 1
     309 0 2 1
     309 0 3 0
     310 0 1 1
     310 0 2 1
     310 0 3 0
     311 0 1 0
     311 0 2 1
     311 0 3 1
     312 0 1 0
     312 0 2 1
     312 0 3 1
     313 0 1 0
     313 0 2 1
     313 0 3 1
     314 0 1 0
     314 0 2 1
     314 0 3 1
     315 0 1 0
     315 0 2 1
     315 0 3 1
     316 0 1 0
     316 0 2 1
     316 0 3 1
     317 0 1 0
     317 0 2 1
     317 0 3 1
     318 0 1 0
     318 0 2 1
     318 0 3 1
     319 0 1 0
     319 0 2 1
     319 0 3 1
     320 0 1 0
     320 0 2 1
     320 0 3 1
     321 0 1 0
     321 0 2 1
     321 0 3 1
     322 0 1 0
     322 0 2 1
     322 0 3 1
     323 0 1 0
     323 0 2 1
     323 0 3 0
     324 0 1 0
     324 0 2 1
     324 0 3 0
     325 0 1 0
     325 0 2 1
     325 0 3 0
     326 0 1 0
     326 0 2 1
     326 0 3 0
     327 0 1 0
     327 0 2 1
     327 0 3 0
     328 0 1 0
     328 0 2 1
     328 0 3 0
     329 0 1 0
     329 0 2 1
     329 0 3 0
     330 0 1 1
     330 0 2 0
     330 0 3 1
     331 0 1 1
     331 0 2 0
     331 0 3 1
     332 0 1 1
     332 0 2 0
     332 0 3 1
     333 0 1 1
     333 0 2 0
     333 0 3 1
     334 0 1 1
     334 0 2 0
     334 0 3 1
     335 0 1 1
     335 0 2 0
     335 0 3 1
     336 0 1 1
     336 0 2 0
     336 0 3 1
     337 0 1 1
     337 0 2 0
     337 0 3 1
     338 0 1 1
     338 0 2 0
     338 0 3 1
     339 0 1 1
     339 0 2 0
     339 0 3 1
     340 0 1 1
     340 0 2 0
     340 0 3 1
     341 0 1 1
     341 0 2 0
     341 0 3 1
     342 0 1 1
     342 0 2 0
     342 0 3 1
     343 0 1 1
     343 0 2 0
     343 0 3 1
     344 0 1 1
     344 0 2 0
     344 0 3 0
     345 0 1 1
     345 0 2 0
     345 0 3 0
     346 0 1 1
     346 0 2 0
     346 0 3 0
     347 0 1 1
     347 0 2 0
     347 0 3 0
     348 0 1 1
     348 0 2 0
     348 0 3 0
     349 0 1 1
     349 0 2 0
     349 0 3 0
     350 0 1 1
     350 0 2 0
     350 0 3 0
     351 0 1 1
     351 0 2 0
     351 0 3 0
     352 0 1 1
     352 0 2 0
     352 0 3 0
     353 0 1 1
     353 0 2 0
     353 0 3 0
     354 0 1 1
     354 0 2 0
     354 0 3 0
     355 0 1 1
     355 0 2 0
     355 0 3 0
     356 0 1 1
     356 0 2 0
     356 0 3 0
     357 0 1 1
     357 0 2 0
     357 0 3 0
     358 0 1 1
     358 0 2 0
     358 0 3 0
     359 0 1 1
     359 0 2 0
     359 0 3 0
     360 0 1 1
     360 0 2 0
     360 0 3 0
     361 0 1 1
     361 0 2 0
     361 0 3 0
     362 0 1 1
     362 0 2 0
     362 0 3 0
     363 0 1 1
     363 0 2 0
     363 0 3 0
     364 0 1 1
     364 0 2 0
     364 0 3 0
     365 0 1 1
     365 0 2 0
     365 0 3 0
     366 0 1 1
     366 0 2 0
     366 0 3 0
     367 0 1 1
     367 0 2 0
     367 0 3 0
     368 0 1 1
     368 0 2 0
     368 0 3 0
     369 0 1 1
     369 0 2 0
     369 0 3 0
     370 0 1 0
     370 0 2 0
     370 0 3 1
     371 0 1 0
     371 0 2 0
     371 0 3 1
     372 0 1 0
     372 0 2 0
     372 0 3 1
     373 0 1 0
     373 0 2 0
     373 0 3 1
     374 0 1 0
     374 0 2 0
     374 0 3 1
     375 0 1 0
     375 0 2 0
     375 0 3 1
     376 0 1 0
     376 0 2 0
     376 0 3 1
     377 0 1 0
     377 0 2 0
     377 0 3 1
     378 0 1 0
     378 0 2 0
     378 0 3 1
     379 0 1 0
     379 0 2 0
     379 0 3 1
     380 0 1 0
     380 0 2 0
     380 0 3 1
     381 0 1 0
     381 0 2 0
     381 0 3 1
     382 0 1 0
     382 0 2 0
     382 0 3 1
     383 0 1 0
     383 0 2 0
     383 0 3 1
     384 0 1 0
     384 0 2 0
     384 0 3 1
     385 0 1 0
     385 0 2 0
     385 0 3 1
     386 0 1 0
     386 0 2 0
     386 0 3 1
     387 0 1 0
     387 0 2 0
     387 0 3 1
     388 0 1 0
     388 0 2 0
     388 0 3 1
     389 0 1 0
     389 0 2 0
     389 0 3 1
     390 0 1 0
     390 0 2 0
     390 0 3 1
     391 0 1 0
     391 0 2 0
     391 0 3 1
     392 0 1 0
     392 0 2 0
     392 0 3 1
     393 0 1 0
     393 0 2 0
     393 0 3 1
     394 0 1 0
     394 0 2 0
     394 0 3 1
     395 0 1 0
     395 0 2 0
     395 0 3 1
     396 0 1 0
     396 0 2 0
     396 0 3 1
     397 0 1 0
     397 0 2 0
     397 0 3 1
     398 0 1 0
     398 0 2 0
     398 0 3 1
     399 0 1 0
     399 0 2 0
     399 0 3 0
     400 0 1 0
     400 0 2 0
     400 0 3 0
     401 0 1 0
     401 0 2 0
     401 0 3 0
     402 0 1 0
     402 0 2 0
     402 0 3 0
     403 0 1 0
     403 0 2 0
     403 0 3 0
     404 0 1 0
     404 0 2 0
     404 0 3 0
     405 0 1 0
     405 0 2 0
     405 0 3 0
     406 0 1 0
     406 0 2 0
     406 0 3 0
     407 0 1 0
     407 0 2 0
     407 0 3 0
     408 0 1 0
     408 0 2 0
     408 0 3 0
     409 0 1 0
     409 0 2 0
     409 0 3 0
     410 0 1 0
     410 0 2 0
     410 0 3 0
     411 0 1 0
     411 0 2 0
     411 0 3 0
     412 0 1 0
     412 0 2 0
     412 0 3 0
     413 0 1 0
     413 0 2 0
     413 0 3 0
     414 0 1 0
     414 0 2 0
     414 0 3 0
     415 0 1 0
     415 0 2 0
     415 0 3 0
     416 0 1 0
     416 0 2 0
     416 0 3 0
     417 0 1 0
     417 0 2 0
     417 0 3 0
     418 0 1 0
     418 0 2 0
     418 0 3 0
     419 0 1 0
     419 0 2 0
     419 0 3 0
     420 0 1 0
     420 0 2 0
     420 0 3 0
     421 0 1 0
     421 0 2 0
     421 0 3 0
     422 0 1 0
     422 0 2 0
     422 0 3 0
     423 0 1 0
     423 0 2 0
     423 0 3 0
     424 0 1 0
     424 0 2 0
     424 0 3 0
     425 0 1 0
     425 0 2 0
     425 0 3 0
     426 0 1 0
     426 0 2 0
     426 0 3 0
     427 0 1 0
     427 0 2 0
     427 0 3 0
     428 0 1 0
     428 0 2 0
     428 0 3 0
     429 0 1 0
     429 0 2 0
     429 0 3 0
     430 0 1 0
     430 0 2 0
     430 0 3 0
     431 0 1 0
     431 0 2 0
     431 0 3 0
     432 0 1 0
     432 0 2 0
     432 0 3 0
     433 0 1 0
     433 0 2 0
     433 0 3 0
     434 0 1 0
     434 0 2 0
     434 0 3 0
     435 0 1 0
     435 0 2 0
     435 0 3 0
     436 0 1 0
     436 0 2 0
     436 0 3 0
     437 0 1 0
     437 0 2 0
     437 0 3 0
     438 0 1 0
     438 0 2 0
     438 0 3 0
     439 0 1 0
     439 0 2 0
     439 0 3 0
     440 0 1 0
     440 0 2 0
     440 0 3 0
     441 0 1 0
     441 0 2 0
     441 0 3 0
     442 0 1 0
     442 0 2 0
     442 0 3 0
     443 0 1 0
     443 0 2 0
     443 0 3 0
     444 0 1 0
     444 0 2 0
     444 0 3 0
     445 0 1 0
     445 0 2 0
     445 0 3 0
     446 0 1 0
     446 0 2 0
     446 0 3 0
     447 0 1 0
     447 0 2 0
     447 0 3 0
     448 0 1 0
     448 0 2 0
     448 0 3 0
     449 0 1 0
     449 0 2 0
     449 0 3 0
     450 0 1 0
     450 0 2 0
     450 0 3 0
     451 0 1 0
     451 0 2 0
     451 0 3 0
     452 0 1 0
     452 0 2 0
     452 0 3 0
     453 0 1 0
     453 0 2 0
     453 0 3 0
     454 0 1 0
     454 0 2 0
     454 0 3 0
     455 0 1 0
     455 0 2 0
     455 0 3 0
     456 0 1 0
     456 0 2 0
     456 0 3 0
     457 0 1 0
     457 0 2 0
     457 0 3 0
     458 0 1 0
     458 0 2 0
     458 0 3 0
     459 0 1 0
     459 0 2 0
     459 0 3 0
     460 0 1 0
     460 0 2 0
     460 0 3 0
     461 0 1 0
     461 0 2 0
     461 0 3 0
     462 0 1 0
     462 0 2 0
     462 0 3 0
     463 0 1 0
     463 0 2 0
     463 0 3 0
     464 0 1 0
     464 0 2 0
     464 0 3 0
     465 0 1 0
     465 0 2 0
     465 0 3 0
     466 0 1 0
     466 0 2 0
     466 0 3 0
     467 0 1 0
     467 0 2 0
     467 0 3 0
     468 0 1 0
     468 0 2 0
     468 0 3 0
     469 0 1 0
     469 0 2 0
     469 0 3 0
     470 0 1 0
     470 0 2 0
     470 0 3 0
     471 0 1 0
     471 0 2 0
     471 0 3 0
     472 0 1 0
     472 0 2 0
     472 0 3 0
     473 0 1 0
     473 0 2 0
     473 0 3 0
     474 0 1 0
     474 0 2 0
     474 0 3 0
     475 0 1 0
     475 0 2 0
     475 0 3 0
     476 0 1 0
     476 0 2 0
     476 0 3 0
     477 0 1 0
     477 0 2 0
     477 0 3 0
     478 0 1 0
     478 0 2 0
     478 0 3 0
     479 0 1 0
     479 0 2 0
     479 0 3 0
     480 0 1 0
     480 0 2 0
     480 0 3 0
     481 0 1 0
     481 0 2 0
     481 0 3 0
     482 0 1 0
     482 0 2 0
     482 0 3 0
     483 0 1 0
     483 0 2 0
     483 0 3 0
     484 0 1 0
     484 0 2 0
     484 0 3 0
     485 0 1 0
     485 0 2 0
     485 0 3 0
     486 0 1 0
     486 0 2 0
     486 0 3 0
     487 0 1 0
     487 0 2 0
     487 0 3 0
     488 0 1 0
     488 0 2 0
     488 0 3 0
     489 0 1 0
     489 0 2 0
     489 0 3 0
     490 0 1 0
     490 0 2 0
     490 0 3 0
     491 0 1 0
     491 0 2 0
     491 0 3 0
     492 0 1 0
     492 0 2 0
     492 0 3 0
     493 0 1 0
     493 0 2 0
     493 0 3 0
     494 0 1 0
     494 0 2 0
     494 0 3 0
     495 0 1 0
     495 0 2 0
     495 0 3 0
     496 0 1 0
     496 0 2 0
     496 0 3 0
     497 0 1 0
     497 0 2 0
     497 0 3 0
     498 0 1 0
     498 0 2 0
     498 0 3 0
     499 0 1 0
     499 0 2 0
     499 0 3 0
     500 0 1 0
     500 0 2 0
     500 0 3 0
     501 0 1 0
     501 0 2 0
     501 0 3 0
     502 0 1 0
     502 0 2 0
     502 0 3 0
     503 0 1 0
     503 0 2 0
     503 0 3 0
     504 0 1 0
     504 0 2 0
     504 0 3 0
     505 0 1 0
     505 0 2 0
     505 0 3 0
     506 0 1 0
     506 0 2 0
     506 0 3 0
     507 0 1 0
     507 0 2 0
     507 0 3 0
     508 0 1 0
     508 0 2 0
     508 0 3 0
     509 0 1 0
     509 0 2 0
     509 0 3 0
     510 0 1 0
     510 0 2 0
     510 0 3 0
     511 0 1 0
     511 0 2 0
     511 0 3 0
     512 0 1 0
     512 0 2 0
     512 0 3 0
     513 0 1 0
     513 0 2 0
     513 0 3 0
     514 0 1 0
     514 0 2 0
     514 0 3 0
     515 0 1 0
     515 0 2 0
     515 0 3 0
     516 0 1 0
     516 0 2 0
     516 0 3 0
     517 0 1 0
     517 0 2 0
     517 0 3 0
     518 0 1 0
